Product,Design,Colour,Style Code,Cateogry ,Fabric,Costing With Admin,Admin With Logistics Cost,Retail Price,Wholesale Price - 50% Off,Wholesale Price - 40% Off,Wholesale Price - 30% Off
Cuban Collared Cropped Shirt,Cosmic Chaos,Beige & Blue,CcCcCrSh1503WS,Top,Linen Blend,14,15.6,199,99,80,60
Cuban Collared Cropped Shirt,Cosmic Chaos,Blue,CcCcCrSh03WS,Top,Viscose Blend,11,12.9,199,99,80,60
Cuban Collared Cropped Shirt,Auralith,Blue,AurCcCrSh03WS,Top,Viscose Blend,8,9.6,59,29,24,18
Cuban Collared Cropped Shirt,Auralith,Orange,AurCcCrSh05WS,Top,Viscose Blend,8,9.6,59,29,24,18
Cuban Collared Cropped Shirt,Auralith,Pink,AurCcCrSh16WS,Top,Viscose Blend,8,9.6,59,29,24,18
Cuban Collared Cropped Shirt,Auralith,Beige,AurCcCrSh15WS,Top,Viscose Blend,8,9.6,59,29,24,18
Cuban Collared Cropped Shirt,Nurazaa,Pink,NrzCcCrSh16WS,Top,Viscose Blend,8,9.6,66,33,26,20
Cuban Collared Cropped Shirt,Nurazaa,Mint,NrzCcCrSh02WS,Top,Viscose Blend,8,9.6,66,33,26,20
Cuban Collared Cropped Shirt,Timeless Impressions,Mocha,TmplrCcCrSh23WS,Top,Viscose Blend,8,9.6,59,29,24,18
Cuban Collared Cropped Shirt,Falling Halves,Pink & Blue,FlHvsCcCrSh1603WS,Top,Viscose Blend,8,9.6,54,27,21,16
Cuban Collared Cropped Shirt,Rough Notes,Mint,RghNtsCcCrSh02WS,Top,Linen Blend,9,11,66,33,26,20
Cuban Collared Cropped Shirt,Mireaux II,Red,MirIICcCrSh01WS,Top,Viscose Blend,8,9.6,74,37,30,22
Cuban Collared Cropped Shirt,Dynarche,Mint & White,DynCcCrSh0210WS,Top,Viscose Blend,8,9.6,201,101,80,60
Cuban Collared Cropped Shirt,Luminous Reign,Burgundy,LmRnCcCrSh25WS,Top,Viscose Blend,8,9.6,59,29,24,18
Cuban Collared Cropped Shirt,Luminous Reign,White,LmRnCcCrSh10WS,Top,Viscose Blend,8,9.6,59,29,24,18
Cropped Shirt,Auralith,Orange,AurCrFsSh05WS,Top,Viscose Blend,10,11.8,120,60,48,36
Cropped Shirt,Celestial Descent,Olive,CelDscCrFsSh02WS,Top,Viscose Blend,10,11.8,120,60,48,36
Cropped Shirt,Celestial Descent,Red,CelDscCrFsSh01WS,Top,Viscose Blend,10,11.8,120,60,48,36
Top With Crossover Opening,Rough Notes,Black,RghNtsCrsOp09WS,Top,Satin,10,12.3,234,117,94,70
Top With Crossover Opening,Timeless Impressions,Mocha,TmplrCrsOp23WS,Top,Satin,10,12.3,234,117,94,70
Knee Length Dress,Cosmic Chaos,Mixed,CcKLDr14WS,Dress,Satin,19,21.4,266,133,106,80
Knee Length Dress,Cosmic Chaos,Beige & Blue,CcKLDr1503WS,Dress,Linen Blend,19,21,263,131,105,79
Knee Length Dress,Cosmic Chaos,Yellow,CcKLDr24WS,Dress,Satin,19,21.4,263,131,105,79
Knee Length Dress,Cosmic Chaos,Blue,CcKLDr03WS,Dress,Satin,19,21.4,263,131,105,79
Wide Trouser,Measured Dissonance,Beige,MsDisWiTr15WS,Bottom,Linen Blend,10,11.5,263,131,105,79
Wide Trouser,Measured Dissonance,Yellow,MsDisWiTr24WS,Bottom,Linen Blend,10,11.5,50,25,20,15
Wide Trouser,Rough Notes,Mint,RghNtsWiTr02WS,Bottom,Linen Blend,10,11.5,50,25,20,15
Wide Trouser,Cosmic Chaos,Beige & Blue,CcWiTr1503WS,Bottom,Linen Blend,10,11.5,79,40,32,24
Wide Trouser,Auralith,Blue,AurWiTr03WS,Bottom,Viscose Blend,8,10.1,209,105,84,63
Wide Trouser,Auralith,Orange,AurWiTr05WS,Bottom,Viscose Blend,8,10.1,80,40,32,24
Wide Trouser,Auralith,Beige,AurWiTr15WS,Bottom,Viscose Blend,8,10.1,80,40,32,24
Wide Trouser,Luminous Reign,Burgundy,LuRnWiTr25WS,Bottom,Viscose Blend,8,10.1,80,40,32,24
Wide Trouser,Astral Dynasty,Blue,AsDyWiTr03WS,Bottom,Satin,17,19,84,42,34,25
Wide Trouser,Astral Dynasty,Burgundy,AsDyWiTr25WS,Bottom,Satin,17,19,209,105,84,63
Wide Trouser,Astral Dynasty,Grey,AsDyWiTr04WS,Bottom,Satin,17,19,209,105,84,63
Wide Trouser,Nurazaa,Mint,NrzWiTr02WS,Bottom,Satin,17,19,209,105,84,63
Wide Trouser,Mireaux II,Red,MirIIWiTr01WS,Bottom,Satin,17,19,61,31,25,18
Wide Trouser,Cosmic Chaos,Mixed,CcWiTr14WS,Bottom,Satin,17,19,68,34,27,20
Wide Trouser,Cosmic Chaos,Blue,CcWiTr03WS,Bottom,Satin,17,19,209,105,84,63
Skirt,ath Of Least Resistance,Black,MoFlSk09WS,Skirt,Satin,20,21.8,209,105,84,63
Skirt,Rough Notes,Black,RghNtsFlSk09WS,Skirt,Satin,20,21.8,238,119,95,71
Skirt,Rough Notes,Grey,RghNtsFlSk04WS,Skirt,Linen Blend,18,20.1,158,79,63,47
Skirt,Rough Notes,Beige,RghNtsFlSk15WS,Skirt,Linen Blend,18,20.1,158,79,63,47
Skirt,Timeless Impressions,Mocha,TmplrFlSk23WS,Skirt,Satin,20,21.8,87,43,35,26
Skirt,Cosmic Chaos,Mixed,CcFlSk14WS,Skirt,Satin,20,21.8,266,133,106,80
Skirt,Cosmic Chaos,Yellow,CcFlSk24WS,Skirt,Satin,20,21.8,266,133,106,80
Skirt,Cosmic Chaos,Beige & Blue,CcFlSk1503WS,Skirt,Linen Blend,18,20.1,266,133,106,80
Skirt,Cosmic Chaos,Blue,CcFlSk03WS,Skirt,Satin,20,21.8,266,133,106,80
Full Sleeve Shirt,Auralith,Orange,AurFsSh05WS,Top,Viscose Blend,11,12.6,120,60,48,36
Full Sleeve Shirt,Auralith,Blue,AurFsSh03WS,Top,Viscose Blend,11,12.6,120,60,48,36
Full Sleeve Shirt,Auralith,Beige,AurFsSh15WS,Top,Viscose Blend,11,12.6,120,60,48,36
Full Sleeve Shirt,eign,Burgundy,LuRnFsSh25WS,Set,Viscose Blend,11,12.6,127,63,51,38
Full Sleeve Shirt,Cosmic Chaos,Beige & Blue,CcFsSh1503WS,Set,Linen Blend,12,14.4,263,131,105,79
Cuban Collared Shirt,Astral Dynasty,Blue,AsDyCcBfs03S,Top,Viscose Blend,10,11.8,113,56,45,34
Cuban Collared Shirt,Astral Dynasty,Burgundy,AsDyCcBfs25S,Top,Viscose Blend,10,11.8,113,56,45,34
Cuban Collared Shirt,Astral Dynasty,Grey,AsDyCcBfs04S,Top,Viscose Blend,10,11.8,113,56,45,34
Cuban Collared Shirt,The First Strand,Pink,SrkCcBfs16S,Top,Viscose Blend,10,11.8,88,44,35,26
Cuban Collared Shirt,Mythikaya,Peach,MytCcBfs15S,Top,Viscose Blend,9,11,100,50,40,30
Cuban Collared Shirt,Mythikaya,White,MytCcBfs10S,Top,Viscose Blend,9,11,100,50,40,30
Cuban Collared Shirt,Auralith,Black,AurCcBfs09S,Top,Viscose Blend,10,11.8,100,50,40,30
Cuban Collared Shirt,Lutheinn,Green,LthnCcBfs02S,Top,Viscose Blend,10,11.8,63,31,25,19
Cuban Collared Shirt,Opal Reign,Yellow & Brown,OpRnCcBfs2423S,Top,Viscose Blend,10,11.8,88,44,35,26
Cuban Collared Shirt,Nurazaa,Yellow & Brown,NrzCcBfs2423S,Top,Viscose Blend,10,11.8,52,26,21,16
Cuban Collared Shirt,Dynarche,Mint & White,DynCcBfs0210S,Top,Viscose Blend,10,11.8,113,56,45,34
Cuban Collared Shirt,Mireaux II,Red,MirIICcBfs01S,Top,Viscose Blend,10,11.8,100,50,40,30
Cuban Collared Shirt,Shower of Forms,White,ShrFrmCcBfs10S,Top,Viscose Blend,10,11.8,75,38,30,23
Cuban Collared Shirt,Shower of Forms,Maroon,ShrFrmCcBfs07S,Top,Viscose Blend,10,11.8,75,38,30,23
Cuban Collared Shirt,Shower of Forms,Beige,ShrFrmCcBfs15S,Top,Viscose Blend,10,11.8,75,38,30,23
Cuban Collared Shirt,Inferno Veil,White,InfvlCcBfs10S,Top,Viscose Blend,9,11,38,19,15,11
Cuban Collared Shirt,Inferno Veil,Olive,InfvlCcBfs02S,Top,Viscose Blend,9,11,38,19,15,11
Cuban Collared Shirt,Inferno Veil,Orange,InfvlCcBfs05S,Top,Viscose Blend,9,11,38,19,15,11
Cuban Collared Shirt,Victory Roll,Beige,VcPtnCcBfs15S,Top,Viscose Blend,9,11,38,19,15,11
Cuban Collared Shirt,Victory Roll,Orange,VcPtnCcBfs05S,Top,Viscose Blend,9,11,38,19,15,11
Cuban Collared Shirt,Mythikaya droplets,Pink,MytDrlCcBfs16S,Top,Viscose Blend,9,11,63,31,25,19
Cuban Collared Shirt,Echoes in Order,Black,EcsOrCcBfs09S,Top,Viscose Blend,10,11.8,75,38,30,23
Cuban Collared Shirt,Timeless Impressions,Burgundy,TmIprCcBfs25S,Top,Viscose Blend,9,11,38,19,15,11
Cuban Collared Shirt,Falling Halves,Black & Pink,FlHvsCcBfs0916S,Top,Viscose Blend,10,11.8,75,38,30,23
Cuban Collared Shirt,Celestial Descent,Olive,CelDscCcBfs02S,Top,Viscose Blend,10,11.8,81,41,33,24
Cuban Collared Shirt,Rough Notes,Mint,RghNtsCcBfs02S,Top,Viscose Blend,9,11,38,19,15,11
Cuban Collared Shirt,Rough Notes,Black,RghNtsCcBfs09S,Top,Viscose Blend,9,11,38,19,15,11
Cuban Collared Shirt,Rough Notes,Maroon,RghNtsCcBfs07S,Top,Viscose Blend,9,11,38,19,15,11
Cuban Collared Shirt,Rough Notes,Mocha,RghNtsCcBfs23S,Top,Viscose Blend,16,17.6,38,19,15,11
Full Sleeve Shirt,Rough Notes,Pink,RghNtsFsSh16S,Top,Linen Blend,16,17.6,67,33,27,20
Full Sleeve Shirt,Rough Notes,White,RghNtsFsSh10S,Top,Linen Blend,16,17.6,67,33,27,20
Full Sleeve Shirt,Rough Notes,Grey,RghNtsFsSh04S,Top,Linen Blend,16,17.6,67,33,27,20
Full Sleeve Shirt,Rough Notes,Dusty Pink,RghNtsFsShD16S,Top,Linen Blend,16,17.6,67,33,27,20
Full Sleeve Shirt,Rough Notes,Yellow,RghNtsFsSh24S,Top,Linen Blend,16,17.6,67,33,27,20
Full Sleeve Shirt,Cosmic Chaos,Beige & Blue,CcFsSh1503S,Top,Linen Blend,16,17.6,205,103,82,62
Full Sleeve Shirt,Cosmic Chaos,Blue,CcFsSh03S,Top,Viscose Blend,14,16,205,103,82,62
Full Sleeve Shirt,Timeless Impressions,Olive,TmIprFsSh02S,Top,Viscose Blend,14,16,81,41,33,24
Full Sleeve Shirt,Timeless Impressions,Mocha,TmIprFsSh23S,Top,Viscose Blend,14,16,81,41,33,24
Full Sleeve Shirt,Timeless Impressions,Burgundy,TmIprFsSh25S,Top,Viscose Blend,14,16,81,41,33,24
Shirt,Astral Dynasty,Blue,AsDyHsSh03S,Top,Viscose Blend,9,11.4,73,36,29,22
Shirt,irst Strand,Pink,SrkHsSh16S,Top,Viscose Blend,9,11.4,46,23,18,14
Shirt,Pillarline,Yellow,PilnHsSh24S,Top,Linen Blend,11,13.2,87,44,35,26
Jacket,Cosmic Chaos,Beige & Blue,CcJa1503S,Top,Satin,14,15.9,374,187,150,112
Jacket,Rough Notes,Black,RnSHJa09,Top,Satin,14,16.2,214,107,85,64
Jacket,Astral Dynasty,Burgundy,AsDySHJa25,Top,Satin,14,16.2,267,133,107,80
Jacket,Cosmic Chaos,Blue,CcSHJa03,Top,Satin,14,16.2,374,187,150,112
Jacket,Cosmic Chaos,Mixed,CcSHJa14,Top,Satin,14,16.2,374,187,150,112
Jacket,Cosmic Chaos,Yellow,CcSHJa24,Top,Satin,14,16.2,374,187,150,112
Jacket,The First Strand,Ruby,SrkSHJa01,Top,Satin,14,16.2,260,130,104,78
Jacket,The First Strand,Mixed,SrkSHJa14,Top,Satin,14,16.2,260,130,104,78
Hooded Jacket,Cosmic Chaos,Mixed,CcSHHo14,Top,Satin,16,17.6,374,187,150,112
Hooded Jacket,Cosmic Chaos,Beige & Blue,CcHo1503S,Top,Linen Blend,15,17.3,374,187,150,112
Hooded Jacket,ath Of Least Resistance,Peach,MoSHHo15,Top,Satin,14,16.4,374,187,150,112
